postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-11T18:59:46-0700,2015-11-11T18:59:46-0700,2015-11-24T17:52:05-0700",5311758390,"HUGE home for Rent at 7407 Shoreham Dr, Castle Pines, CO",2575,,-104.891952,4,39.470344,//denver.craigslist.org/apa/5311758390.html,8,2.5,Nov 24,"2015-11-11T18:59:46-0700,2015-11-11T18:59:46-0700,2015-11-24T17:52:05-0700",3528,18,0
"2015-11-24T17:57:11-0700,2015-11-24T17:57:11-0700",5331146263,Apartments with W/D & Easy Access to I-25 & Public Transportation,1054,,,1,,//denver.craigslist.org/apa/5331146263.html,16,1.0,Nov 24,"2015-11-24T17:57:11-0700,2015-11-24T17:57:11-0700",1,25,0
"2015-11-24T17:57:15-0700,2015-11-24T17:57:15-0700",5331146321,"Come Look and Lease, Dog Wash and Bark Park, High Ceilings",1540,,-105.027634,2,39.58102,//denver.craigslist.org/apa/5331146321.html,16,2.0,Nov 24,"2015-11-24T17:57:15-0700,2015-11-24T17:57:15-0700",1179,26,0
"2015-11-24T17:34:43-0700,2015-11-24T17:34:43-0700",5331120243,Great Apartment for a Great Price !,1226,,-104.8799,1,39.6123,//denver.craigslist.org/apa/5331120243.html,5,1.0,Nov 24,"2015-11-24T17:34:43-0700,2015-11-24T17:34:43-0700",826,20,0
"2015-11-24T17:57:32-0700,2015-11-24T17:57:32-0700",5331146655,"Fitness Center, Walk-in Closets, Playground, Vinyl Plank Wood Floors",2060,,,2,,//denver.craigslist.org/apa/5331146655.html,23,2.0,Nov 24,"2015-11-24T17:57:32-0700,2015-11-24T17:57:32-0700",1182,21,0
"2015-11-24T17:58:57-0700,2015-11-24T17:58:57-0700",5331148268,"Rooftop Deck, Stainless Steel Appliances, Fitness and Yoga Center",1490,,,1,,//denver.craigslist.org/apa/5331148268.html,20,1.0,Nov 24,"2015-11-24T17:58:57-0700,2015-11-24T17:58:57-0700",872,29,0
"2015-11-18T14:29:06-0700,2015-11-18T14:29:06-0700,2015-11-24T17:57:34-0700",5322041667,"2nd floor, 1 bed 1 bath ~ AVAIL DEC 8",565,,-104.7399,1,38.886,//cosprings.craigslist.org/apa/5322041667.html,20,1.0,Nov 24,"2015-11-18T14:29:06-0700,2015-11-18T14:29:06-0700,2015-11-24T17:57:34-0700",460,18,0
"2015-11-04T16:06:39-0700,2015-11-04T16:06:39-0700,2015-11-24T17:52:45-0700",5300716039,Excellent 3bd 2bth breathtaking carpet,900,,,3,,//denver.craigslist.org/apa/5300716039.html,0,2.0,Nov 24,"2015-11-04T16:06:39-0700,2015-11-04T16:06:39-0700,2015-11-24T17:52:45-0700",1727,2,0
"2015-11-24T17:52:39-0700,2015-11-24T17:52:39-0700",5331141146,Love where you live! Huge floor plans within walking distance of CSU!,1500,,-105.078996,2,40.581428,//fortcollins.craigslist.org/apa/5331141146.html,6,2.0,Nov 24,"2015-11-24T17:52:39-0700,2015-11-24T17:52:39-0700",950,40,0
"2015-11-24T17:54:49-0700,2015-11-24T17:54:49-0700",5331143591,Upgraded 1 Bedroom!! Ready ASAP!!,820,,-104.90186,1,39.697364,//denver.craigslist.org/apa/5331143591.html,4,1.0,Nov 24,"2015-11-24T17:54:49-0700,2015-11-24T17:54:49-0700",570,26,0
