5332409882,1600,2,1.5,
5332410285,1367,2,2.5,
5332410369,897,2,2,
5332409342,1250,2,2,
5332410853,,1,,
5332318227,,0,,
5325721577,1456,3,2,
5332397747,,1,,
5332396640,,2,,
5332398594,,1,,
5332405290,800,1,1,
5332184730,,1,,
5332281623,482,1,1,
5332441054,,1,,
5332370001,,2,,
5332194253,,1,,
5332130256,400,0,1,
5332241256,,1,,
5332134286,1100,2,2,
5332178786,1157,3,2,
5332274993,,2,,
5314754875,1741,3,2,
5332191602,1080,0,1080,
5327651837,1004,2,2,
5332284268,1520,3,2,
5332283713,919,0,919,
5332278069,707,1,1,
5332253769,1401,1,1,
5321298024,1240,3,2,
5332273743,2751,4,3,
5332201600,,3,,
5332290971,,1,,
5332402882,1250,2,2,
5310995438,,3,,
5332394345,,2,,
5332306483,625,2,625,
5321794823,950,2,2,
5310984273,1500,3,2,
5332124001,,1,,
5332143019,,1,,
5332143101,1260,2,2,
5332302895,,2,,
5332300767,,1,,
5332259146,1434,3,2,
5332303272,,2,,
5332288738,,1,,
5300235034,,2,,
5332416209,1100,2,2,
5332380936,589,0,1,
5332304359,,1,,
5332416945,1260,2,2,
5332141417,,2,,
5311744141,3500,5,4,
5332146627,863,1,1,
5332118751,790,1,1,
5332149582,700,1,1,
5332323370,,0,,
5320682711,904,2,2,
5332091431,655,1,1,
5332149449,,1,,
5332297686,,2,,
5319192109,,3,,
5332149797,533,1,1,
5328925047,,1,,
5300260623,1200,4,2,
5329048353,,1,,
5332295459,600,1,1,
5332307978,,0,,
5329198791,,1,,
5322308637,,2,,
5319196772,,3,,
5319195493,,3,,
5311414794,,4,,
5332199289,953,2,2,
5321996060,,3,,
5332195169,1406,3,2,
5332160468,384,0,1,
5311746938,,3,,
5301718922,3500,5,4,
5313200208,,4,,
5332419114,1342,3,3,
5332375921,,2,,
5332419106,718,1,1,
5332403009,,2,,
5332151814,855,2,2,
5326266498,998,2,2,
5289785470,809,2,1,
5332152713,285,0,1,
5332152933,396,0,1,
5321955231,1629,3,2.5,
5329138916,,0,,
5326062431,800,1,800,
5329079757,,1,,
5332308610,,3,,
5329173628,,0,,
5329292595,,1,,
5326910574,700,1,1.5,
5307938263,,2,,
5318630354,,2,,
5332311166,1000,2,2.5,
5308304355,650,1,1,
5302340498,1200,2,2,
5288298102,,3,,
5332207899,1178,2,2,
5332180939,,3,,
5332190423,,3,,
5300324663,1750,3,3,
5302073076,2050,3,3,
5332136365,600,1,1,
5332421243,1555,3,2,
5293831835,,3,,
5332299501,,1,,
5332190118,1343,3,2,
5293837469,1495,2,3,
5305806176,800,2,1,
5322195991,7490,5,8,
5332154345,1450,3,2,
5297839299,750,1,1,
5301179895,1200,2,2,
5331974422,1500,3,2,
5328885661,1100,2,2,
5332154614,750,1,1,
5332341814,725,1,1,
5332315943,,0,,
5332301117,,0,,
5332353187,980,2,2,
5323880469,553,0,1,
5322999804,750,1,1,
5332301312,600,1,1,
5309178992,1500,2,2,
5323606583,800,1,1.5,
5320114047,1000,2,2.5,
5332316857,,2,,
5291205774,1450,3,2,
5322298212,1776,3,2.5,
5307630400,,1,,
5332194662,1090,2,2,
5308654689,823,0,1,
5290067255,1401,1,1,
5311737933,,3,,
5332214866,1012,2,2,
5322291323,3302,2,3,
5332316201,,2,,
5322285345,4967,5,6,
5293872399,2046,3,4,
5322303307,2878,4,3,
5332156757,720,1,1,
5332157994,951,2,2,
5322285712,1100,2,2,
5310992810,,1,,
5300299217,,2,,
5302094366,1690,5,2.5,
5332088198,800,1,1,
5332140086,600,1,1,
5332346251,,2,,
5332358056,1035,2,2,
5332358378,715,1,1,
5332328032,1980,3,4,
5332163051,710,2,710,
5332351526,,3,,
5332347815,,1,,
5319307408,1000,2,2.5,
5332344456,,1,,
5332319161,1190,2,2,
5318435332,1000,2,2.5,
5319304092,1000,2,2.5,
5319322018,1000,2,2.5,
