postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-25T14:53:00-0700,2015-11-25T14:53:00-0700",5332328281,"State-Of-The-Art Fitness Center, Easy Access to Shopping, Cable Ready",1535,,-105.164032,2,39.717639,//denver.craigslist.org/apa/5332328281.html,8,2.0,Nov 25,"2015-11-25T14:53:00-0700,2015-11-25T14:53:00-0700",850,13,0
"2015-11-01T14:27:14-0700,2015-11-01T14:27:14-0700,2015-11-25T14:49:07-0700",5295674771,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295674771.html,0,1.0,Nov 25,"2015-11-01T14:27:14-0700,2015-11-01T14:27:14-0700,2015-11-25T14:49:07-0700",576,30,0
"2015-11-01T14:11:05-0700,2015-11-01T14:11:05-0700,2015-11-25T14:49:12-0700",5295651512,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295651512.html,0,1.0,Nov 25,"2015-11-01T14:11:05-0700,2015-11-01T14:11:05-0700,2015-11-25T14:49:12-0700",576,30,0
"2015-11-25T14:53:57-0700,2015-11-25T14:53:57-0700",5332329581,Great Renovated 1 Bedroom Available TODAY,1046,,-104.932967,1,39.692987,//denver.craigslist.org/apa/5332329581.html,4,1.0,Nov 25,"2015-11-25T14:53:57-0700,2015-11-25T14:53:57-0700",654,91,0
"2015-11-18T21:05:16-0700,2015-11-18T21:05:16-0700,2015-11-25T14:51:53-0700",5322502341,4 bedroom home,2450,,-104.912702,4,39.53163,//denver.craigslist.org/apa/5322502341.html,11,3.0,Nov 25,"2015-11-18T21:05:16-0700,2015-11-18T21:05:16-0700,2015-11-25T14:51:53-0700",2850,12,0
"2015-11-01T14:04:47-0700,2015-11-01T14:04:47-0700,2015-11-25T14:49:35-0700",5295642499,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295642499.html,0,1.0,Nov 25,"2015-11-01T14:04:47-0700,2015-11-01T14:04:47-0700,2015-11-25T14:49:35-0700",576,30,0
"2015-11-25T14:54:19-0700,2015-11-25T14:54:19-0700",5332330098,"1 bedroom, first floor, renovated! Large Patio!",760,,-104.775262,1,38.83239,//cosprings.craigslist.org/apa/5332330098.html,8,1.0,Nov 25,"2015-11-25T14:54:19-0700,2015-11-25T14:54:19-0700",700,26,0
"2015-11-01T14:12:15-0700,2015-11-01T14:12:15-0700,2015-11-25T14:49:17-0700",5295653181,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295653181.html,0,1.0,Nov 25,"2015-11-01T14:12:15-0700,2015-11-01T14:12:15-0700,2015-11-25T14:49:17-0700",576,30,0
"2015-11-25T14:48:28-0700,2015-11-25T14:48:28-0700",5332322078,2 Bedroom 1 Bath Newly Remodeled Apartment Must View!!,1330,,-104.800266,2,39.717751,//denver.craigslist.org/apa/5332322078.html,0,1.0,Nov 25,"2015-11-25T14:48:28-0700,2015-11-25T14:48:28-0700",935,90,0
"2015-11-25T14:55:37-0700,2015-11-25T14:55:37-0700",5332331894,"Keep Cool with CENTRAL A/C, ceiling fans, and plenty of windows!!",1400,,-104.853,2,39.4455,//denver.craigslist.org/apa/5332331894.html,3,2.0,Nov 25,"2015-11-25T14:55:37-0700,2015-11-25T14:55:37-0700",1026,39,0
"2015-11-02T12:25:55-0700,2015-11-02T12:25:55-0700,2015-11-25T14:53:57-0700",5297048866,Wake up to the smell of our savings!!,,,-104.868114,2,39.414619,//denver.craigslist.org/apa/5297048866.html,10,2.0,Nov 25,"2015-11-02T12:25:55-0700,2015-11-02T12:25:55-0700,2015-11-25T14:53:57-0700",1050,24,0
"2015-11-25T14:46:55-0700,2015-11-25T14:46:55-0700",5332319980,Take a whole top floor to yourself,1685,,-104.800678,3,39.719441,//denver.craigslist.org/apa/5332319980.html,7,2.5,Nov 25,"2015-11-25T14:46:55-0700,2015-11-25T14:46:55-0700",1400,42,0
"2015-11-25T14:59:07-0700,2015-11-25T14:59:07-0700",5332336661,Beautiful One Bedroom Layout! Hurry In On This Amazing Deal!,1100,,-104.7866,1,39.943,//denver.craigslist.org/apa/5332336661.html,4,1.0,Nov 25,"2015-11-25T14:59:07-0700,2015-11-25T14:59:07-0700",671,56,0
"2015-11-17T23:12:57-0700,2015-11-17T23:12:57-0700,2015-11-25T14:50:06-0700",5321046729,Nice Spot in Wimbledon Condo!,1250,,-105.253034,0,40.005945,//boulder.craigslist.org/apa/5321046729.html,11,,Nov 25,"2015-11-17T23:12:57-0700,2015-11-17T23:12:57-0700,2015-11-25T14:50:06-0700",,2,0
