postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-13T15:34:26-0800,2015-11-13T15:34:26-0800,2015-11-25T13:16:53-0800",5314754875,"View, Views from the 2-Story Home with a Huge deck and Hot Tub",1059,,,3,,/wst/apa/5314754875.html,0,2.0,Nov 25,"2015-11-13T15:34:26-0800,2015-11-13T15:34:26-0800,2015-11-25T13:16:53-0800",1741,2,0
"2015-11-25T12:18:05-0800,2015-11-25T12:18:05-0800",5332191602,Double Master Near the Beach!!,2775,,-118.41941,0,33.959712,/wst/apa/5332191602.html,19,1080.0,Nov 25,"2015-11-25T12:18:05-0800,2015-11-25T12:18:05-0800",1080,21,0
"2015-11-22T11:59:25-0800,2015-11-22T11:59:25-0800,2015-11-25T13:18:05-0800",5327651837,2 Bed 2 Bath SFR 2 BLOCKS FROM SAND!!!!,3150,,-118.396516,2,33.856238,/wst/apa/5327651837.html,18,2.0,Nov 25,"2015-11-22T11:59:25-0800,2015-11-22T11:59:25-0800,2015-11-25T13:18:05-0800",1004,4,0
"2015-11-25T13:21:16-0800,2015-11-25T13:21:16-0800",5332284268,Manhattan Beach House For Rent,4500,,-118.398608,3,33.887694,/wst/apa/5332284268.html,4,2.0,Nov 25,"2015-11-25T13:21:16-0800,2015-11-25T13:21:16-0800",1520,7,0
"2015-11-25T13:20:53-0800,2015-11-25T13:20:53-0800",5332283713,"Exclusive, Gated Community, Zen Retreat with Outdoor Fireplace",2901,,-118.437911,0,33.988411,/wst/apa/5332283713.html,6,919.0,Nov 25,"2015-11-25T13:20:53-0800,2015-11-25T13:20:53-0800",919,46,0
"2015-11-25T13:16:59-0800,2015-11-25T13:16:59-0800",5332278069,A 1x1 Home on the Marina Has Access to a Heated Pool & a Clubhouse,1795,,-118.4525,1,33.9779,/wst/apa/5332278069.html,5,1.0,Nov 25,"2015-11-25T13:16:59-0800,2015-11-25T13:16:59-0800",707,4,0
"2015-11-25T12:59:55-0800,2015-11-25T12:59:55-0800,2015-11-25T12:59:56-0800",5332253769,"Now available {Bed} Bed Room great apartments - very stylish loft, gre",2900,,-118.2113,1,34.0783,/wst/apa/5332253769.html,3,1.0,Nov 25,"2015-11-25T12:59:55-0800,2015-11-25T12:59:55-0800,2015-11-25T12:59:56-0800",1401,26,0
"2015-11-18T06:44:47-0800,2015-11-18T06:44:47-0800,2015-11-25T13:18:45-0800",5321298024,For rent: first floor duplex 3br 2ba,2000,,-118.263804,3,33.779818,/wst/apa/5321298024.html,18,2.0,Nov 25,"2015-11-18T06:44:47-0800,2015-11-18T06:44:47-0800,2015-11-25T13:18:45-0800",1240,52,0
"2015-11-25T13:13:55-0800,2015-11-25T13:13:55-0800",5332273743,Gorgeous 4BD/3BA Ocean View Home For Rent,7900,,-118.617132,4,34.04048,/wst/apa/5332273743.html,7,3.0,Nov 25,"2015-11-25T13:13:55-0800,2015-11-25T13:13:55-0800",2751,13,0
"2015-11-25T12:24:45-0800,2015-11-25T12:24:45-0800",5332201600,3 Bed + 2 1/2 Bath House - Walk to Beach,4450,,-118.4373,3,33.9577,/wst/apa/5332201600.html,7,,Nov 25,"2015-11-25T12:24:45-0800,2015-11-25T12:24:45-0800",,7,0
"2015-11-25T13:25:58-0800,2015-11-25T13:25:58-0800",5332290971,Hermosa Corner Unit / Ocean View - Large 1 Bd/1Ba - Pets OK,1825,,-118.396008,1,33.853814,/wst/apa/5332290971.html,13,,Nov 25,"2015-11-25T13:25:58-0800,2015-11-25T13:25:58-0800",,32,0
"2015-11-25T14:51:29-0800,2015-11-25T14:51:29-0800",5332402882,$199 Security Deposit! Price Reduction on Select 2bd/2ba Apartments!,3077,,-118.443766,2,33.985557,/wst/apa/5332402882.html,7,2.0,Nov 25,"2015-11-25T14:51:29-0800,2015-11-25T14:51:29-0800",1250,17,0
"2015-11-11T10:06:51-0800,2015-11-11T10:06:51-0800,2015-11-25T14:55:29-0800",5310995438,House for Rent Torrance 3 BR 1Ba 2-car Gar Dogs OK,1900,,-118.29576,3,33.842974,/wst/apa/5310995438.html,14,,Nov 25,"2015-11-11T10:06:51-0800,2015-11-11T10:06:51-0800,2015-11-25T14:55:29-0800",,36,0
"2015-11-25T14:44:24-0800,2015-11-25T14:44:24-0800",5332394345,Charming two bedroom apartment ~ New stainless steel appliances ~,2995,,,2,,/wst/apa/5332394345.html,10,,Nov 25,"2015-11-25T14:44:24-0800,2015-11-25T14:44:24-0800",,30,0
"2015-11-25T13:36:58-0800,2015-11-25T13:36:58-0800",5332306483,Discover rent-2-own homes in your area,675,,,2,,/wst/apa/5332306483.html,0,625.0,Nov 25,"2015-11-25T13:36:58-0800,2015-11-25T13:36:58-0800",625,1,0
"2015-11-18T11:12:48-0800,2015-11-18T11:12:48-0800,2015-11-25T14:56:18-0800",5321794823,Torrance Senior 2 BR Quiet Complex 55+,1950,,,2,,/wst/apa/5321794823.html,4,2.0,Nov 25,"2015-11-18T11:12:48-0800,2015-11-18T11:12:48-0800,2015-11-25T14:56:18-0800",950,36,0
"2015-11-11T10:01:13-0800,2015-11-11T10:01:13-0800,2015-11-25T14:57:03-0800",5310984273,Torrance 3 BR 2Ba House for Lease,3200,,,3,,/wst/apa/5310984273.html,0,2.0,Nov 25,"2015-11-11T10:01:13-0800,2015-11-11T10:01:13-0800,2015-11-25T14:57:03-0800",1500,34,0
"2015-11-25T11:34:42-0800,2015-11-25T11:34:42-0800",5332124001,READY FOR IMMEDIATE MOVE IN! 1x1,2404,,,1,,/wst/apa/5332124001.html,0,,Nov 25,"2015-11-25T11:34:42-0800,2015-11-25T11:34:42-0800",,79,0
"2015-11-25T11:46:39-0800,2015-11-25T11:46:39-0800,2015-11-25T11:47:22-0800",5332143019,"Hollywood Remodel with Hardwood, Stainless Steel Appliances, Granite",1695,,-118.329792,1,34.088972,/wst/apa/5332143019.html,0,,Nov 25,"2015-11-25T11:46:39-0800,2015-11-25T11:46:39-0800,2015-11-25T11:47:22-0800",,30,0
"2015-11-25T11:46:41-0800,2015-11-25T11:46:41-0800",5332143101,Amazing Layout!!,2975,,-118.4259,2,34.0353,/wst/apa/5332143101.html,0,2.0,Nov 25,"2015-11-25T11:46:41-0800,2015-11-25T11:46:41-0800",1260,22,0
"2015-11-25T13:34:26-0800,2015-11-25T13:34:26-0800",5332302895,Two Bedroom 1 bath BACK COTTAGE For Rent,1789,,-118.36791,2,34.032411,/wst/apa/5332302895.html,0,,Nov 25,"2015-11-25T13:34:26-0800,2015-11-25T13:34:26-0800",,16,0
