postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-21T13:50:00-0800,2015-11-21T13:50:00-0800",5326502172,3br Furnished Modern in Fremont. chef's kitchen,5900,,-122.341138,3,47.65282,/see/apa/5326502172.html,10,2.5,Nov 21,"2015-11-21T13:50:00-0800,2015-11-21T13:50:00-0800",1600,2,0
"2015-11-21T14:06:53-0800,2015-11-21T14:06:53-0800",5326527177,"14219 SE Allen Rd Bellevue, WA",2600,,-122.150107,4,47.572809,/see/apa/5326527177.html,20,1.5,Nov 21,"2015-11-21T14:06:53-0800,2015-11-21T14:06:53-0800",1728,4,0
"2015-11-10T12:10:50-0800,2015-11-10T12:10:50-0800,2015-11-21T14:03:45-0800",5309637781,One Bedroom - New Low Price -No Rent until 2016!! - #316,1399,,-122.319115,1,47.60531,/see/apa/5309637781.html,8,1.0,Nov 21,"2015-11-10T12:10:50-0800,2015-11-10T12:10:50-0800,2015-11-21T14:03:45-0800",575,21,0
"2015-11-06T13:16:33-0800,2015-11-06T13:16:33-0800,2015-11-21T14:23:26-0800",5303708710,The Century - 1 Bedroom w/6 Weeks Free,2032,,-122.3476,1,47.6339,/see/apa/5303708710.html,4,1.0,Nov 21,"2015-11-06T13:16:33-0800,2015-11-06T13:16:33-0800,2015-11-21T14:23:26-0800",802,27,0
"2015-11-21T14:08:24-0800,2015-11-21T14:08:24-0800",5326529381,"Ground Floor 1 Bed, 1 Bath With Private Patio - Perfect for Pets!",1275,,-122.333737,1,47.705541,/see/apa/5326529381.html,6,1.0,Nov 21,"2015-11-21T14:08:24-0800,2015-11-21T14:08:24-0800",775,43,0
"2015-11-21T14:01:59-0800,2015-11-21T14:01:59-0800",5326520037,New WEST SEATTLE ALKI STUDIO APARTMENT with View,1275,,-122.408295,0,47.574065,/see/apa/5326520037.html,19,1.0,Nov 21,"2015-11-21T14:01:59-0800,2015-11-21T14:01:59-0800",600,42,0
"2015-11-21T13:55:55-0800,2015-11-21T13:55:55-0800",5326510980,Just in time for Holiday $avings! Come home to luxury! +Den!,2150,,-122.324087,1,47.61937,/see/apa/5326510980.html,10,1.0,Nov 21,"2015-11-21T13:55:55-0800,2015-11-21T13:55:55-0800",690,105,0
"2015-11-21T13:40:37-0800,2015-11-21T13:40:37-0800",5326488105,"Large, Wood Floors, Granite, Easy to everywhere",1050,,-122.325897,0,47.645962,/see/apa/5326488105.html,8,,Nov 21,"2015-11-21T13:40:37-0800,2015-11-21T13:40:37-0800",,4,0
"2015-11-21T13:59:32-0800,2015-11-21T13:59:32-0800",5326516293,"Studio With Deck, W/D, Newer Interiors",1470,,-122.3934,0,47.5746,/see/apa/5326516293.html,4,1.0,Nov 21,"2015-11-21T13:59:32-0800,2015-11-21T13:59:32-0800",505,33,0
"2015-11-21T13:58:16-0800,2015-11-21T13:58:16-0800",5326514451,Amazing corner unit condo with parking and storage,26000,,-122.3386,2,47.609172,/see/apa/5326514451.html,8,2.0,Nov 21,"2015-11-21T13:58:16-0800,2015-11-21T13:58:16-0800",1000,6,0
"2015-11-21T13:58:24-0800,2015-11-21T13:58:24-0800",5326514667,A 2 BR You Can Fall In Love With!,2906,,,2,,/see/apa/5326514667.html,10,2.0,Nov 21,"2015-11-21T13:58:24-0800,2015-11-21T13:58:24-0800",991,11,0
"2015-11-21T13:44:32-0800,2015-11-21T13:44:32-0800",5326493937,Thanks giving specials you won't believe! Take a TOUR TODAY!,1155,,-122.3772,1,47.6873,/see/apa/5326493937.html,4,1.0,Nov 21,"2015-11-21T13:44:32-0800,2015-11-21T13:44:32-0800",493,28,0
"2015-11-21T13:38:00-0800,2015-11-21T13:38:00-0800",5326484141,Micro Studios--All utilities + FREE internet,1000,,-122.359838,0,47.690467,/see/apa/5326484141.html,10,,Nov 21,"2015-11-21T13:38:00-0800,2015-11-21T13:38:00-0800",,25,0
"2015-11-21T13:40:11-0800,2015-11-21T13:40:11-0800",5326487473,Spacious One Bedroom Plus Den! Huge Kitchen and Fabulous Balcony!,2110,,,1,,/see/apa/5326487473.html,11,1.0,Nov 21,"2015-11-21T13:40:11-0800,2015-11-21T13:40:11-0800",844,30,0
"2015-11-21T13:40:22-0800,2015-11-21T13:40:22-0800",5326487746,READY FOR MOVE IN 12/1! GORGEOUS OPEN 1 BED!,1832,,-122.332335,1,47.613584,/see/apa/5326487746.html,23,1.0,Nov 21,"2015-11-21T13:40:22-0800,2015-11-21T13:40:22-0800",654,38,0
"2015-10-27T12:38:55-0700,2015-10-27T12:38:55-0700,2015-11-21T13:31:31-0800",5288091326,33 Minutes to Downtown Seattle $500 OFF MOVE-IN,1169,,-122.229574,0,47.307172,/see/apa/5288091326.html,5,1.0,Nov 21,"2015-10-27T12:38:55-0700,2015-10-27T12:38:55-0700,2015-11-21T13:31:31-0800",536,35,0
"2015-10-24T12:28:18-0700,2015-10-24T12:28:18-0700,2015-11-21T13:31:48-0800",5283500105,33 Minutes to Downtown Seattle $500 OFF MOVE-IN,1169,,-122.229574,0,47.307172,/see/apa/5283500105.html,5,1.0,Nov 21,"2015-10-24T12:28:18-0700,2015-10-24T12:28:18-0700,2015-11-21T13:31:48-0800",536,35,0
"2015-11-21T13:50:02-0800,2015-11-21T13:50:02-0800",5326502247,"Sparkly New 1 Bed, Plus Den, Great Office or Media Room, 6 Wks Free!",1663,,-122.291373,1,47.559984,/see/apa/5326502247.html,18,1.0,Nov 21,"2015-11-21T13:50:02-0800,2015-11-21T13:50:02-0800",771,58,0
"2015-11-21T13:35:23-0800,2015-11-21T13:35:23-0800",5326480145,"Quiet, Spacious, Easy to everywhere, Free parking",1200,,-122.341518,2,47.693992,/see/apa/5326480145.html,9,,Nov 21,"2015-11-21T13:35:23-0800,2015-11-21T13:35:23-0800",,4,0
"2015-11-21T13:34:28-0800,2015-11-21T13:34:28-0800",5326478769,Great Location for this Spacious 1 Bedroom!,1320,,,1,,/see/apa/5326478769.html,5,1.0,Nov 21,"2015-11-21T13:34:28-0800,2015-11-21T13:34:28-0800",661,26,0
"2015-11-21T13:36:17-0800,2015-11-21T13:36:17-0800",5326481614,Mid-December move in!,2595,,-122.31126,2,47.615191,/see/apa/5326481614.html,17,2.0,Nov 21,"2015-11-21T13:36:17-0800,2015-11-21T13:36:17-0800",936,38,0
"2015-11-21T13:35:51-0800,2015-11-21T13:35:51-0800",5326480923,This Extremely Large 1x1 Has Everything You Need!,1899,,-122.377439,1,47.64745,/see/apa/5326480923.html,24,1.0,Nov 21,"2015-11-21T13:35:51-0800,2015-11-21T13:35:51-0800",832,25,0
"2015-11-21T11:22:30-0800,2015-11-21T11:22:30-0800",5326261748,One Bed Great Place Rianna Cap Hill,1653,,-122.316737,1,47.609532,/see/apa/5326261748.html,10,1.0,Nov 21,"2015-11-21T11:22:30-0800,2015-11-21T11:22:30-0800",517,19,0
"2015-11-21T11:22:35-0800,2015-11-21T11:22:35-0800",5326261893,Amazing studio ready for move in!,1245,,-122.294993,0,47.719293,/see/apa/5326261893.html,13,1.0,Nov 21,"2015-11-21T11:22:35-0800,2015-11-21T11:22:35-0800",467,38,0
"2015-11-21T11:24:11-0800,2015-11-21T11:24:11-0800",5326264767,Spacious 2 Bedroom Apartment! Corner Unit + 2 weeks FREE!,2675,,-122.386932,2,47.556376,/see/apa/5326264767.html,14,2.0,Nov 21,"2015-11-21T11:24:11-0800,2015-11-21T11:24:11-0800",1241,29,0
"2015-11-21T11:14:06-0800,2015-11-21T11:14:06-0800",5326246668,Lounge in Luxury!,1475,,-122.3431,0,47.7377,/see/apa/5326246668.html,16,1.0,Nov 21,"2015-11-21T11:14:06-0800,2015-11-21T11:14:06-0800",626,11,0
"2015-11-21T12:33:21-0800,2015-11-21T12:33:21-0800",5326382993,Wonderful One Bedroom One Bathroom,1240,,-122.3431,1,47.7377,/see/apa/5326382993.html,12,1.0,Nov 21,"2015-11-21T12:33:21-0800,2015-11-21T12:33:21-0800",687,38,0
"2015-11-18T15:24:45-0800,2015-11-18T15:24:45-0800,2015-11-21T11:15:16-0800",5322222521,"Pre-leasing 1 Bed w/ Spacious Balcony, 1 Month Free, Amazing Amenities",1845,,-122.349093,1,47.61276,/see/apa/5322222521.html,13,1.0,Nov 21,"2015-11-18T15:24:45-0800,2015-11-18T15:24:45-0800,2015-11-21T11:15:16-0800",699,12,0
"2015-11-21T11:23:24-0800,2015-11-21T11:23:24-0800",5326263320,Studio UPGRADED Washer/Dryer BEAUTIFUL!!,1245,,-122.294993,0,47.719293,/see/apa/5326263320.html,13,1.0,Nov 21,"2015-11-21T11:23:24-0800,2015-11-21T11:23:24-0800",467,38,0
"2015-11-21T11:22:29-0800,2015-11-21T11:22:29-0800",5326261715,Available December - Wonderful 3rd floor flat. Modern units cheep rent,1250,,-122.324417,1,47.606496,/see/apa/5326261715.html,17,1.0,Nov 21,"2015-11-21T11:22:29-0800,2015-11-21T11:22:29-0800",400,36,0
"2015-11-14T12:13:59-0800,2015-11-14T12:13:59-0800,2015-11-21T12:36:30-0800",5315935388,"Spacious 1x1, Fully Upgraded, New Appliance, Washer & Dryer in Home",1440,,-122.3431,1,47.7377,/see/apa/5315935388.html,13,1.0,Nov 21,"2015-11-14T12:13:59-0800,2015-11-14T12:13:59-0800,2015-11-21T12:36:30-0800",954,38,0
